species,stressor,vuln,iucn_sid,src,map_f
acanthastrea subechinata,storm_disturbance,0.19322,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,uv_radiation,0.39105,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthastrea subechinata,wildlife_strike,0.12283,132929,iucn,species_ranges/iucn_spp_mol_132929.csv
acanthogorgia aspera,biomass_removal,0.73388,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,bycatch,0.3414,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,entanglement_macroplastic,0.09919,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,eutrophication_nutrient_pollution,0.60789,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,habitat_loss_degradation,0.39261,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,inorganic_pollution,0.49006,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,light_pollution,0.24218,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,marine_heat_waves,0.59431,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,ocean_acidification,0.48852,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,oceanographic,0.48436,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,organic_pollution,0.49014,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,plastic_pollution_microplastic,0.21499,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,poisons_toxins,0.45807,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,salinity,0.64344,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,sedimentation,0.35546,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,sea_level_rise,0.24218,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,sst_rise,0.73388,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,storm_disturbance,0.19322,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,uv_radiation,0.39105,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acanthogorgia aspera,wildlife_strike,0.12283,NA,am,species_ranges/am_spp_mol_acanthogorgia_aspera.csv
acropora abrolhosensis,biomass_removal,0.71843,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,bycatch,0.33422,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,entanglement_macroplastic,0.09748,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,eutrophication_nutrient_pollution,0.59673,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,habitat_loss_degradation,0.38435,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,inorganic_pollution,0.47826,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,light_pollution,0.23708,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,marine_heat_waves,0.58613,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,ocean_acidification,0.47955,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,oceanographic,0.47416,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,organic_pollution,0.47697,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,plastic_pollution_microplastic,0.211,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,poisons_toxins,0.44966,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,salinity,0.63153,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,sedimentation,0.34893,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
